samples,predicted
"Бұл ретте мынадай нәтижелерді күтуге болады:
","Бұл ретте мынадай нәтижелерді күтуге болады:
"
"Өндіріс көлемі 9 есе артады;
","Өндіріс көлемі тоғыз есе артады;
"
"Ел экономикасына болжамды әсер қосымша +1,2%;
","Ел экономикасына болжамды әсер қосымша  плюс бір бүтін оннан екі проценттер ;
"
"«Осылайша базалық мұнайгаз-химия өнімдерін өндіру мұнай-газ саласындағы терең өңдеуді дамыту үшін берік негіз бола тұра, шикізат экономикасын әртараптандыру және технологиялық дамуға ұмтылу жөніндегі стратегиямызға сәйкес келеді», – деді энергетика министрі.
","«Осылайша базалық мұнайгазхимия өнімдерін өндіру мұнайгаз саласындағы терең өңдеуді дамыту үшін берік негіз бола тұра, шикізат экономикасын әртараптандыру және технологиялық дамуға ұмтылу жөніндегі стратегиямызға сәйкес келеді»,   деді энергетика министрі 
"
"Газ өңдеу кешені бойынша Президенттің тапсырмасына сәйкес биыл Қашаған кен орнының шикізат базасында құны $860 млн, қуаты 1 млрд текше метр шикі газ өңдеу зауытының құрылысын бастау жоспарлануда.
","Газ өңдеу кешені бойынша Президенттің тапсырмасына сәйкес биыл Қашаған кен орнының шикізат базасында құны сегіз жүз алпыс долларлар  миллионов, қуаты бір миллиардов текше метр шикі газ өңдеу зауытының құрылысын бастау жоспарлануда 
"
"Жобаны табысты іске асыру үшін мемлекет бірқатар мәселелерді пысықтады.
","Жобаны табысты іске асыру үшін мемлекет бірқатар мәселелерді пысықтады 
"
"Атап айтқанда, жоба шикізатпен, инфрақұрылыммен (су, газ, электр желісі) қамтамасыз етіліп, жобаны қаржыландыру мәселесі пысықталды.
","Атап айтқанда, жоба шикізатпен, инфрақұрылыммен (су, газ, электр желісі) қамтамасыз етіліп, жобаны қаржыландыру мәселесі пысықталды 
"
"«Мемлекет басшысы Қ.
","«Мемлекет басшысы Қ 
"
"Тоқаевтың Үкіметтің кеңейтілген отырысының қорытындысы бойынша берген тапсырмалары министрліктің қатаң бақылауында», – деп түйіндеді Н.
","Тоқаевтың Үкіметтің кеңейтілген отырысының қорытындысы бойынша берген тапсырмалары министрліктің қатаң бақылауында»,   деп түйіндеді Н 
"
"Ноғаев.
","Ноғаев 
"
"Осы категория бойынша:
","Осы категория бойынша:
"
"« Қазақстан Чехияға құны жүздеген миллион доллардан асатын өнім жеткізбек
","« Қазақстан Чехияға құны жүздеген миллион доллардан асатын өнім жеткізбек
"
"Қазақстанда қосылған құн салығын әкімшілендіруде Blockchain-технологиясы енгізілмек »
","Қазақстанда қосылған құн салығын әкімшілендіруде Блоцкчаин технологиясы енгізілмек »
"
"Қазақстанда 175 адам коронавирус инфекциясынан жазылып шықты.
","Қазақстанда жүз жетпіс бес адам коронавирус инфекциясынан жазылып шықты 
"
"Алматы қаласында - 6, Ақмола облысында - 15, Алматы облысында - 5, Атырау облысында - 10, Шығыс Қазақстан облысында - 72, Батыс Қазақстан облысында - 15, Қарағанды облысында - 18, Павлодар облысында - 34.
","Алматы қаласында   алты, Ақмола облысында   он бес, Алматы облысында   бес, Атырау облысында   он, Шығыс Қазақстан облысында   жетпіс екі, Батыс Қазақстан облысында   он бес, Қарағанды облысында   он сегіз, Павлодар облысында   отыз төрт 
"
"Елімізде барлығы 107843 адам KOVID-19-дан емделіп, сауығып шықты.
","Елімізде барлығы жүз жеті мың сегіз жүз қырық үш адам КОВИД он тоғыздан емделіп, сауығып шықты 
"
"Осы категория бойынша:
","Осы категория бойынша:
"
"« ШҚО-да коронавирустың таралу екпіні жоғары
","« ШҚО да коронавирустың таралу екпіні жоғары
"
"Зертханалық қызметтер мен жеке қорғаныс құралдарының бағасы төмендеді »
","Зертханалық қызметтер мен жеке қорғаныс құралдарының бағасы төмендеді »
"
"Бүгін «Хабар» Агенттігінің құрылғанына 25 жыл толды.
","Бүгін «Хабар» Агенттігінің құрылғанына жиырма бес жыл толды 
"
"1995 жылдың 23 қазанында «Хабар» деген атаумен еліміздің ақпараттық кеңістігінде алғашқы ұлттық телевизиялық агенттік ашылды. 1997 жылы арна өзінің жеке жиілігі арқылы хабар тарата бастады.
","бір мың тоғыз жүз тоқсан бесінші жылдың жиырма үшінші қазанында «Хабар» деген атаумен еліміздің ақпараттық кеңістігінде алғашқы ұлттық телевизиялық агенттік ашылды  бір мың тоғыз жүз тоқсан жетінші жылы арна өзінің жеке жиілігі арқылы хабар тарата бастады 
"
"Көп ұзамай барлық облыста тілшілер қосыны жұмыс істеді.
","Көп ұзамай барлық облыста тілшілер қосыны жұмыс істеді 
"
"Қазір әлемнің алпауыт елдерінен 20-ға жуық меншікті тілші қазақстандық көрермен үшін ақпарат таратып жүр.
","Қазір әлемнің алпауыт елдерінен жиырмаға жуық меншікті тілші қазақстандық көрермен үшін ақпарат таратып жүр 
"
"Ширек ғасыр бұрын 4-5 бөлмеде өз жұмысын бастаған «Хабар» агенттігі бүгінде төрт арнаның басын біріктіріп отыр.
","Ширек ғасыр бұрын төрт бес бөлмеде өз жұмысын бастаған «Хабар» агенттігі бүгінде төрт арнаның басын біріктіріп отыр 
"
"Олар – «Хабар», «Ел арна», «Kazakh TV» және «Хабар 24».
","Олар   «Хабар», «Ел арна», «Казакх ТВ» және «Хабар жиырма төрт» 
"
"Осы категория бойынша:
","Осы категория бойынша:
"
"« Президент еңбек миграциясына қатысты мәселе көтерді
","« Президент еңбек миграциясына қатысты мәселе көтерді
"
"Судьялардың құқық қорғау органдарына тәуелділігін жою керек – Қ.
","Судьялардың құқық қорғау органдарына тәуелділігін жою керек   Қ 
"
"Тоқаев »
","Тоқаев »
"
"Алматы облысында міндетті әлеуметтік медициналық сақтандыруға тартылған азаматтардың саны 1 млн 600 мыңға жетті, деп хабарлайды «Хабар 24».
","Алматы облысында міндетті әлеуметтік медициналық сақтандыруға тартылған азаматтардың саны бір миллионов алты жүз мыңға жетті, деп хабарлайды «Хабар жиырма төрт» 
"
"Бұл облыс тұрғындарының 77,5 проценті.
","Бұл облыс тұрғындарының жетпіс жеті бүтін оннан бес проценті 
"
"Сәйкесінше, 450 мыңға жуық адам сақтандырылмаған.
","Сәйкесінше, төрт жүз елу мыңға жуық адам сақтандырылмаған 
"
"Оларға өткен жылы 136 млрд теңгенің медициналық көмегі көрсетілсе, соның үштен бір бөлігі міндетті әлеуметтік сақтандыру бойынша ұсынылған.
","Оларға өткен жылы жүз отыз алты миллиардов теңгенің медициналық көмегі көрсетілсе, соның үштен бір бөлігі міндетті әлеуметтік сақтандыру бойынша ұсынылған 
"
"Дегенмен халық көбіне консультациялық-диагностикалық қызметтердің қолжетімсіздігіне, медицина қызметкерлерінің дөрекілігі мен біліксіздігіне, көрсетілетін қызметтердің сапасына және дәрігерлердің науқасты әдейі ақылы қызметтерге жіберуге тырысатынын айтып шағымданған.
","Дегенмен халық көбіне консультациялықдиагностикалық қызметтердің қолжетімсіздігіне, медицина қызметкерлерінің дөрекілігі мен біліксіздігіне, көрсетілетін қызметтердің сапасына және дәрігерлердің науқасты әдейі ақылы қызметтерге жіберуге тырысатынын айтып шағымданған 
"
"«Мұндай келеңсіздік заң талабын бірлесіп орындау шарттарының болмауы себепті туындап отыр.
","«Мұндай келеңсіздік заң талабын бірлесіп орындау шарттарының болмауы себепті туындап отыр 
"
"Біздің басты мақсатымыз – пациенттердің құқын қорғау.
","Біздің басты мақсатымыз   пациенттердің құқын қорғау 
"
"Сәйкесінше, 450 мыңға жуық адам сақтандырылмаған. Оларға өткен жылы 136 млрд теңгенің медициналық көмегі көрсетілсе, соның үштен бір бөлігі міндетті әлеуметтік сақтандыру бойынша ұсынылған. Дегенмен халық көбіне консультациялық-диагностикалық қызметтердің қолжетімсіздігіне, медицина қызметкерлерінің дөрекілігі мен біліксіздігіне, көрсетілетін қызметтердің сапасына және дәрігерлердің науқасты әдейі ақылы қызметтерге жіберуге тырысатынын айтып шағымданған. «Мұндай келеңсіздік заң талабын бірлесіп орындау шарттарының болмауы себепті туындап отыр. Біздің басты мақсатымыз – пациенттердің құқын қорғау. Өйткені денсаулық сақтау саласындағы ең негізгі тұлға – науқас, оның мүддесі мен денсаулығы. Сол себепті біз кері байланыстың түрлі арналарын ұсынып отырмыз», - дейді қор өкілдері.
","Сәйкесінше, төрт жүз елу мыңға жуық адам сақтандырылмаған  Оларға өткен жылы жүз отыз алты миллиардов теңгенің медициналық көмегі көрсетілсе, соның үштен бір бөлігі міндетті әлеуметтік сақтандыру бойынша ұсынылған  Дегенмен халық көбіне консультациялықдиагностикалық қызметтердің қолжетімсіздігіне, медицина қызметкерлерінің дөрекілігі мен біліксіздігіне, көрсетілетін қызметтердің сапасына және дәрігерлердің науқасты әдейі ақылы қызметтерге жіберуге тырысатынын айтып шағымданған  «Мұндай келеңсіздік заң талабын бірлесіп орындау шарттарының болмауы себепті туындап отыр  Біздің басты мақсатымыз   пациенттердің құқын қорғау  Өйткені денсаулық сақтау саласындағы ең негізгі тұлға   науқас, оның мүддесі мен денсаулығы  Сол себепті біз кері байланыстың түрлі арналарын ұсынып отырмыз»,   дейді қор өкілдері 
"
"Нұрлан Отарғалиев, Әлеуметтік медициналық сақтандыру қорының Алматы облысы бойынша филиалының директоры:
","Нұрлан Отарғалиев, Әлеуметтік медициналық сақтандыру қорының Алматы облысы бойынша филиалының директоры:
"
"– Qoldau 24/7 сияқты мобильдік қосымшалар арқылы бізде пациенттермен тығыз қарым-қатынас орнатылған.
","  колдау жиырма төрт бөлу жеті сияқты мобильдік қосымшалар арқылы бізде пациенттермен тығыз қарымқатынас орнатылған 
"
"Әлеуметтік желілер, фейсбук, инстаграм, телеграм бот, сонымен бірге сайттарымыз бар (fms.kz), сонымен қатар әр медициналық ұйымның сайтында плагин орналасқан.
","Әлеуметтік желілер, фейсбук, инстаграм, телеграм бот, сонымен бірге сайттарымыз бар (фмс кз), сонымен қатар әр медициналық ұйымның сайтында плагин орналасқан 
"
"Ең бірінші сұрақ сақтандырылды ма, сақтандырылмады ма, мәртебесін анықтау.
","Ең бірінші сұрақ сақтандырылды ма, сақтандырылмады ма, мәртебесін анықтау 
"
"Ол үшін толық жағдай жасалған.
","Ол үшін толық жағдай жасалған 
"
"Осы категория бойынша:
","Осы категория бойынша:
"
"« Нұр-Сұлтанда жұмыс істейтін жастарға пәтер кілттері берілді
","« Нұр Сұлтанда жұмыс істейтін жастарға пәтер кілттері берілді
"
"Өскеменде 400 көшеге жарық орнатылады »
","Өскеменде төрт жүз көшеге жарық орнатылады »
"
"Владимир Путин өзінің құттықтауында Қазақстанның әлеуметтік-экономикалық және ғылыми-техникалық даму ісінде зор табысқа қол жеткізгенін, әлемдік аренада үлкен беделге ие екенін, халықаралық өзекті проблемаларды шешуде маңызды әрі конструктивті роль атқаратынын атап өткен.
","Владимир Путин өзінің құттықтауында Қазақстанның әлеуметтікэкономикалық және ғылымитехникалық даму ісінде зор табысқа қол жеткізгенін, әлемдік аренада үлкен беделге ие екенін, халықаралық өзекті проблемаларды шешуде маңызды әрі конструктивті роль атқаратынын атап өткен 
"
"– Мемлекеттеріміз арасындағы стратегиялық серіктестік пен одақтастық қатынастар табысты дамып келе жатқаны қуантады.
","  Мемлекеттеріміз арасындағы стратегиялық серіктестік пен одақтастық қатынастар табысты дамып келе жатқаны қуантады 
"
"Біз күш біріктіре отырып, барлық екі жақты байланыстарды, сондай-ақ Еуразиялық экономикалық одақ, Ұжымдық қауіпсіздік шарт туралы ұйымы, ТМД, Шанхай ынтымақтастық ұйымы, Біріккен Ұлттар Ұйымы және басқа да көп жақты құрылымдар аясындағы ықпалдастықты одан әрі нығайтатынымызға сенімдімін.
","Біз күш біріктіре отырып, барлық екі жақты байланыстарды, сондайақ Еуразиялық экономикалық одақ, Ұжымдық қауіпсіздік шарт туралы ұйымы, ТМД, Шанхай ынтымақтастық ұйымы, Біріккен Ұлттар Ұйымы және басқа да көп жақты құрылымдар аясындағы ықпалдастықты одан әрі нығайтатынымызға сенімдімін 
"
"Мұның бауырлас халықтарымыздың мүдделеріне жауап беретіні сөзсіз.
","Мұның бауырлас халықтарымыздың мүдделеріне жауап беретіні сөзсіз 
"
"Сондай-ақ еуразиялық кеңістіктегі қауіпсіздік пен тұрақтылықты нығайту жолымен келе жатқанымызды білдіреді.
","Сондайақ еуразиялық кеңістіктегі қауіпсіздік пен тұрақтылықты нығайту жолымен келе жатқанымызды білдіреді 
"
"Өзіңізге зор денсаулық пен табыс, ал барлық достас Қазақстан азаматтарына шын жүректен бақ-береке тілеймін, – делінген Ресей Президентінің жеделхатында.
","Өзіңізге зор денсаулық пен табыс, ал барлық достас Қазақстан азаматтарына шын жүректен бақбереке тілеймін,   делінген Ресей Президентінің жеделхатында 
"
"Осы категория бойынша:
","Осы категория бойынша:
"
"« Елбасы мемлекеттік наградаларды тапсырды
","« Елбасы мемлекеттік наградаларды тапсырды
"
"Мемлекет басшысы бірқатар мемлекеттің елшілерінен сенім грамотасын қабылдады »
","Мемлекет басшысы бірқатар мемлекеттің елшілерінен сенім грамотасын қабылдады »
"
"Қытайлық Orion Star Technology Co. Ltd компаниясы Zhi Ka Master атты бариста-робот жасап шығарды.
","Қытайлық Орион Стар Течнологы Цо  Лтд компаниясы Жи Ка Мастер атты баристаробот жасап шығарды 
"
"Роботтың екі қолы бар және кәдімгі адам сияқты кофе немесе шай дайындау тәрізді күрделі тапсырмаларды орындай алады.
","Роботтың екі қолы бар және кәдімгі адам сияқты кофе немесе шай дайындау тәрізді күрделі тапсырмаларды орындай алады 
"
"Құрылғыға RGB камерасы орнатылған, ал роботтың өзі нақты уақыт режимінде кері байланыс орнатуға қабілетті.
","Құрылғыға РГБ камерасы орнатылған, ал роботтың өзі нақты уақыт режимінде кері байланыс орнатуға қабілетті 
"
"Сондай-ақ роботта оның жұмысын дереу тоқтататын апаттық батырма бар.
","Сондайақ роботта оның жұмысын дереу тоқтататын апаттық батырма бар 
"
"Оның көлемі үш шаршы метрді алады.
","Оның көлемі үш шаршы метрді алады 
"
"Осы категория бойынша:
","Осы категория бойынша:
"
"« Загреб зообағындағы хайуандар «Пасха» мерекесіне орай тәттіге қарық болды
","« Загреб зообағындағы хайуандар «Пасха» мерекесіне орай тәттіге қарық болды
"
"АҚШ-та коронавирустың екі рет мутацияға ұшырайтын үндістандық штамы анықталды »
","АҚШ та коронавирустың екі рет мутацияға ұшырайтын үндістандық штамы анықталды »
"
"Күннің көзі көрініп, қар кеткен соң әуре де көбейді.
","Күннің көзі көрініп, қар кеткен соң әуре де көбейді 
"
"Сырттағы ел тасқыннан қауіптенсе, елордалықтар саз кешіп жүр.
","Сырттағы ел тасқыннан қауіптенсе, елордалықтар саз кешіп жүр 
"
"Тіпті сол жағалаудағы «жаяу жүргіншілерге арналған жолдармен жүру мүмкін емес» дейді тұрғындар.
","Тіпті сол жағалаудағы «жаяу жүргіншілерге арналған жолдармен жүру мүмкін емес» дейді тұрғындар 
"
"Ғазиза Мұхамеджанова, тілші:
","Ғазиза Мұхамеджанова, тілші:
"
"- Елордадағы С409 көшесіндегі жаяу жүргіншілерге арналған жолдың сиқы осындай.
","  Елордадағы Стөрт жүз тоғыз көшесіндегі жаяу жүргіншілерге арналған жолдың сиқы осындай 
"
"Жергілікті тұрғындардың сөзінше, бұл жерді электр сымдарын жүргізу үшін бір жыл бұрын қазып тастаған.
","Жергілікті тұрғындардың сөзінше, бұл жерді электр сымдарын жүргізу үшін бір жыл бұрын қазып тастаған 
"
"Сымдар жүргізілді.
","Сымдар жүргізілді 
"
"Ал жол жөндеу жұмыстары сол күйі аяқсыз қалған.
","Ал жол жөндеу жұмыстары сол күйі аяқсыз қалған 
"
"- Жолдың сапасын мына көріп тұрсыздар.
","  Жолдың сапасын мына көріп тұрсыздар 
"
"Шашылып жатыр, бұзылып жатыр.
","Шашылып жатыр, бұзылып жатыр 
"
"Былтырдан бері осылай. Былтырғы жаздан бері осылай, ешкім ешқайда қарамайды.
","Былтырдан бері осылай  Былтырғы жаздан бері осылай, ешкім ешқайда қарамайды 
"
"- Мына жақтар жақсы.
","  Мына жақтар жақсы 
"
"Ал мына жер уже қиындау болып тұр.
","Ал мына жер уже қиындау болып тұр 
"
"Бір жылдан асты әлі жөндеген жоқ.
","Бір жылдан асты әлі жөндеген жоқ 
"
"«Үйдің маңайында жүріп тұру ыңғайсыз.
","«Үйдің маңайында жүріп тұру ыңғайсыз 
"
"Сүрініп құлап жатқандар да бар», - дейді тұрғындар.
","Сүрініп құлап жатқандар да бар»,   дейді тұрғындар 
"
"Әсіресе кішкентай балалармен және арбамен жүргендерге жайсыз.
","Әсіресе кішкентай балалармен және арбамен жүргендерге жайсыз 
"
"- Бала арбасымен өту тіпті мүмкін емес.
","  Бала арбасымен өту тіпті мүмкін емес 
"
"Былтыр бағдаршамға сым жүргіземіз деп, осы жерді қазып тастаған.
","Былтыр бағдаршамға сым жүргіземіз деп, осы жерді қазып тастаған 
"
"Әлі жөндеген жоқ.
","Әлі жөндеген жоқ 
"
"Павел, қала тұрғыны:
","Павел, қала тұрғыны:
"
"- Балам жүгіріп осы жерге барады.
","  Балам жүгіріп осы жерге барады 
"
"Тастарды қарап, кейде шалынып құлап қалады.
","Тастарды қарап, кейде шалынып құлап қалады 
"
"Арбамен жүргенде айналып өтеміз.
","Арбамен жүргенде айналып өтеміз 
"
"Дәл бағдаршамға апаратын жол болғандықтан ашық жатқаны ыңғайсыз.
","Дәл бағдаршамға апаратын жол болғандықтан ашық жатқаны ыңғайсыз 
"
"Пушкин көшесінде, Абай мен Кенесары көшелерінің қиылысында да жыл сайын жолда шұңқырлар болады.
","Пушкин көшесінде, Абай мен Кенесары көшелерінің қиылысында да жыл сайын жолда шұңқырлар болады 
"
"Көктем келгелі бас қаладағы көптеген көшеде осындай көрініс.
","Көктем келгелі бас қаладағы көптеген көшеде осындай көрініс 
"
"Мысалы, Қабанбай батыр мен Жәнібек, Керей хандар көшелерінің қиылысында да жаяу жүргіншілерге арналған жолдың сапасы көңіл көншітпейді.
","Мысалы, Қабанбай батыр мен Жәнібек, Керей хандар көшелерінің қиылысында да жаяу жүргіншілерге арналған жолдың сапасы көңіл көншітпейді 
"
"Ал қала әкімі Алтай Көлгінов әлеуметтік желідегі соңғы жазбаларының бірінде «жиналыстар мен түрлі нысандарды аралаудан бос уақытымда тұрғындардың хаттарын оқып, айтылған шағымдарға қатысты шара қолдануды тапсырамын» деп жазды.
","Ал қала әкімі Алтай Көлгінов әлеуметтік желідегі соңғы жазбаларының бірінде «жиналыстар мен түрлі нысандарды аралаудан бос уақытымда тұрғындардың хаттарын оқып, айтылған шағымдарға қатысты шара қолдануды тапсырамын» деп жазды 
"
"Ал елордалықтар «әкімнің айтқаны жай ғана жазба болып қалмайды» деп үміттенеді.
","Ал елордалықтар «әкімнің айтқаны жай ғана жазба болып қалмайды» деп үміттенеді 
"
"Авторлар: Ғазиза Мұхамеджанова, Нұрғали Мамырбаев
","Авторлар: Ғазиза Мұхамеджанова, Нұрғали Мамырбаев
"
"Осы категория бойынша:
","Осы категория бойынша:
"
"« Алдағы үш күнде ауа температурасы төмендейді
","« Алдағы үш күнде ауа температурасы төмендейді
"
"Коронавирус бойынша ахуал үш есе нашарлады – Цой »
","Коронавирус бойынша ахуал үш есе нашарлады   Цой »
"
"15 наурызда Алматы облысының Боралдай кентінде Ұлттық қауіпсіздік комитеті басшылығының қатысуымен ҰҚК Авиация қызметінің қаза тапқан әскери қызметшілеріне құрмет көрсету рәсімі өткізілді.
","он бесінші наурызда Алматы облысының Боралдай кентінде Ұлттық қауіпсіздік комитеті басшылығының қатысуымен ҰҚК Авиация қызметінің қаза тапқан әскери қызметшілеріне құрмет көрсету рәсімі өткізілді 
"
"Қаза болғандарды жерлеу орнына жеткізу үшін Ұлттық қауіпсіздік комитетінің жерүсті және әуе көлік құралдары тартылды, деп хабарлады ҚР ҰҚК баспасөз қызметі.
","Қаза болғандарды жерлеу орнына жеткізу үшін Ұлттық қауіпсіздік комитетінің жерүсті және әуе көлік құралдары тартылды, деп хабарлады ҚР ҰҚК баспасөз қызметі 
"
"ҰҚК қаза тапқан және зардап шеккен әскери қызметшілердің туыстары мен жақындарына барлық қажетті көмек пен қолдауды көрсетуде.
","ҰҚК қаза тапқан және зардап шеккен әскери қызметшілердің туыстары мен жақындарына барлық қажетті көмек пен қолдауды көрсетуде 
"
"Қызметтік міндеттерін орындау кезінде қаза тапқан әскери қызметшілер еске алынып, ҰҚК Орталық аппаратының ғимаратында ведомстволық ту төмен түсірілді, сағат 17:22-де ұлттық қауіпсіздік органдарында «Бір минут үнсіздік» өткізіледі.
","Қызметтік міндеттерін орындау кезінде қаза тапқан әскери қызметшілер еске алынып, ҰҚК Орталық аппаратының ғимаратында ведомстволық ту төмен түсірілді, сағат он жеті:жиырма екіде ұлттық қауіпсіздік органдарында «Бір минут үнсіздік» өткізіледі 
"
"Құрылған ведомствоаралық жұмыс комиссиясы әуе апатының барлық мән-жайларын анықтау және борттық өздігінен жазатын құралды талдау бойынша жұмыс жүргізуде.
","Құрылған ведомствоаралық жұмыс комиссиясы әуе апатының барлық мәнжайларын анықтау және борттық өздігінен жазатын құралды талдау бойынша жұмыс жүргізуде 
"
"Нәтижелері туралы қосымша хабарланатын болады.
","Нәтижелері туралы қосымша хабарланатын болады 
"
"Алматы маңында ұшақ құлады
","Алматы маңында ұшақ құлады
"
"Алматыдағы ұшақ апатынан қаза тапқандардың есімдері аталды
","Алматыдағы ұшақ апатынан қаза тапқандардың есімдері аталды
"
"Ұшақ апатынан тірі қалғандардың жағдайы белгілі болды
","Ұшақ апатынан тірі қалғандардың жағдайы белгілі болды
"
"Осы категория бойынша:
","Осы категория бойынша:
"
"« Павлодарлық алаяқ тұрғындардың 100 млн теңгесін қалтасына басқан
","« Павлодарлық алаяқ тұрғындардың жүз миллионов теңгесін қалтасына басқан
"
"КВИ жұққан аяғы ауыр әйелдердің мерзімінен бұрын босануы жиілеп кетті »
","КВИ жұққан аяғы ауыр әйелдердің мерзімінен бұрын босануы жиілеп кетті »
"
"Алматыдағы Мемлекеттік орталық музейде «Бабадан қалған сырлы әуен» атты музыкалық аспаптар көрмесі ашылды, деп хабарлайды «Хабар 24».
","Алматыдағы Мемлекеттік орталық музейде «Бабадан қалған сырлы әуен» атты музыкалық аспаптар көрмесі ашылды, деп хабарлайды «Хабар жиырма төрт» 
"
"Құнды жәдігерлер қатарында ұлы Абайдың жары – Ділдә Алшынбайқызының домбырасы да бар.
","Құнды жәдігерлер қатарында ұлы Абайдың жары   Ділдә Алшынбайқызының домбырасы да бар 
"
"Музейдің қорында көне дәуірлерден бүгінге жеткен 200-ге жуық музыкалық аспап сақталған.
","Музейдің қорында көне дәуірлерден бүгінге жеткен екі жүзге жуық музыкалық аспап сақталған 
"
"Солардың 20-ға жуығы көпшілік назарына ұсынылды.
","Солардың жиырмаға жуығы көпшілік назарына ұсынылды 
"
"Көрменің ерекшелігі – негізінен мемориалдық музыкалық аспаптарға басымдық берілген.
","Көрменің ерекшелігі   негізінен мемориалдық музыкалық аспаптарға басымдық берілген 
"
"Мәселен, ұлы Абайдың жары Ділдә Алшынбайқызының домбырасын музей қорына ақынның ағасы Ысқақтың немересі тасырыпты.
","Мәселен, ұлы Абайдың жары Ділдә Алшынбайқызының домбырасын музей қорына ақынның ағасы Ысқақтың немересі тасырыпты 
"
"Маржан Жүнісова, ҚР МОМ бөлім меңгерушісі:
","Маржан Жүнісова, ҚР МОМ бөлім меңгерушісі:
"
"– Домбыраның пішініне назар аударсақ, оның нәзік, әрі ерекше талғаммен жасалғанын аңғаруға болады.
","  Домбыраның пішініне назар аударсақ, оның нәзік, әрі ерекше талғаммен жасалғанын аңғаруға болады 
"
"Бұл аспапты Абайдың өзі жары Ділдәға сыйға тартқан.
","Бұл аспапты Абайдың өзі жары Ділдәға сыйға тартқан 
"
"Домбыра музей қорында 1978 жылдан бері сақтаулы.
","Домбыра музей қорында бір мың тоғыз жүз жетпіс сегізінші жылдан бері сақтаулы 
"
"Бұдан бөлек, көрмеден Күләш Байсейітованың, Қаныш Сәтпаевтың, Әміре Қашаубаевтың шерткен домбыраларын көруге болады.
","Бұдан бөлек, көрмеден Күләш Байсейітованың, Қаныш Сәтпаевтың, Әміре Қашаубаевтың шерткен домбыраларын көруге болады 
"
"Сондай-ақ көрмеге жетіген, шертер, сыбызғы, сазсырнай аспаптарының көне нұсқалары қойылған.
","Сондайақ көрмеге жетіген, шертер, сыбызғы, сазсырнай аспаптарының көне нұсқалары қойылған 
"
"Әсіресе, қоңыр үнді алып қобыз мәдени мұралардың тарихы тереңдігін аңғартады.
","Әсіресе, қоңыр үнді алып қобыз мәдени мұралардың тарихы тереңдігін аңғартады 
"
"Оны қазіргі ұрпақ та білгені абзал дейді мамандар.
","Оны қазіргі ұрпақ та білгені абзал дейді мамандар 
"
"Бибігүл Дәндіқарақызы, ҚР МОМ директорының орынбасары:
","Бибігүл Дәндіқарақызы, ҚР МОМ директорының орынбасары:
"
"– Ұлттық мәдениетімізді, мәдени мұрамызды дәріптеу, сонымен қатар жасөспірімге өзінің дәстүрлі мәдениетке деген құрметке тәрбиелеу, сондай-ақ өзіміздің қазақи дәстүрлі ұлттық аспаптарымызды насихаттау мақсатында ұйымдастырып отырмыз.
","  Ұлттық мәдениетімізді, мәдени мұрамызды дәріптеу, сонымен қатар жасөспірімге өзінің дәстүрлі мәдениетке деген құрметке тәрбиелеу, сондайақ өзіміздің қазақи дәстүрлі ұлттық аспаптарымызды насихаттау мақсатында ұйымдастырып отырмыз 
"
"Тәуелсіздіктің 30 жылдығы мен Наурыз мерекесіне орай ашылған көрме сәуір айының соңын дейін жұмыс істейді.
","Тәуелсіздіктің отыз жылдығы мен Наурыз мерекесіне орай ашылған көрме сәуір айының соңын дейін жұмыс істейді 
"
"Көрмені музейдің сайтынан онлайн тамашалауға да болады.
","Көрмені музейдің сайтынан онлайн тамашалауға да болады 
"
"Гүлжан Көленқызы, Сержан Жұмабаев
","Гүлжан Көленқызы, Сержан Жұмабаев
"
"Осы категория бойынша:
","Осы категория бойынша:
"
"« «Ұлттық киім ұлықталсын».
","« «Ұлттық киім ұлықталсын» 
"
"СҚО-да ерекше челлендж басталды
","СҚО да ерекше челлендж басталды
"
"Маңғыстау облысында «Үлгілі келін» байқауы өтті »
","Маңғыстау облысында «Үлгілі келін» байқауы өтті »
"
"Шымкентте 5 қабатты ғимараттың төбесі құлап, 3 бірдей ер азамат опат болды, деп хабарлайды «Хабар 24».
","Шымкентте бес қабатты ғимараттың төбесі құлап, үш бірдей ер азамат опат болды, деп хабарлайды «Хабар жиырма төрт» 
"
"Оқиға бүгін түс ауа болған.
","Оқиға бүгін түс ауа болған 
"
"Марқұмдардың бірі күзет қызметінің қарауылы, екеуі жұмысшы.
","Марқұмдардың бірі күзет қызметінің қарауылы, екеуі жұмысшы 
"
"Белгілі болғаны, үлкені 54-те, қалған екеуі  24 және  22-дегі жас жігіттер.
","Белгілі болғаны, үлкені елу төртте, қалған екеуі  жиырма төрт және  жиырма екінші дегі жас жігіттер 
"
"Ал қираған Еңбекші ауданы Қапал батыр тас жолының 5 шақырымында орналасқан «Ордабасы» индустриалдық аймағындағы ғимарат. 5 қабатты нысанның төбе жабындысы құлаған.
","Ал қираған Еңбекші ауданы Қапал батыр тас жолының бес шақырымында орналасқан «Ордабасы» индустриалдық аймағындағы ғимарат  бес қабатты нысанның төбе жабындысы құлаған 
"
"Жалпы бұл жұмыс істемей тұрған аумағы 2 мың шаршы метрлік нысан болып шықты.
","Жалпы бұл жұмыс істемей тұрған аумағы екі мың шаршы метрлік нысан болып шықты 
"
